frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
45,1.4997,1,-0.070758,-0.026162,1.267514,-2.12,-2.47,-1.86,1779.97,1009.73,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
46,1.5330,1,-0.070823,-0.026145,1.266446,-3.29,-2.04,-1.89,1779.71,1009.71,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
47,1.5664,1,-0.070789,-0.026125,1.264728,-4.45,-3.02,-1.93,1779.58,1009.67,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
48,1.5997,1,-0.070815,-0.026130,1.265151,-4.09,-3.04,-1.93,1779.58,1009.68,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
49,1.6330,1,-0.070789,-0.026097,1.264004,-5.32,-1.47,-2.09,1779.49,1009.67,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
50,1.6663,1,-0.070923,-0.025987,1.263269,-3.89,1.15,-2.07,1779.15,1009.88,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
51,1.6997,1,-0.070948,-0.025983,1.263289,-4.13,1.27,-2.06,1779.10,1009.88,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
52,1.7330,1,-0.071050,-0.025999,1.264743,-3.07,1.00,-2.02,1779.07,1009.92,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
53,1.7663,1,-0.071000,-0.025956,1.264062,-3.45,1.22,-2.05,1779.09,1009.97,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
54,1.7996,1,-0.070949,-0.025912,1.262918,-1.93,3.49,-2.01,1779.05,1010.02,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
55,1.8330,1,-0.070987,-0.025914,1.263876,-2.32,2.43,-2.03,1779.09,1010.06,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
56,1.8663,1,-0.070993,-0.025902,1.264266,-1.95,2.23,-2.01,1779.12,1010.10,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
57,1.8996,1,-0.071000,-0.025909,1.264427,-2.02,2.09,-2.02,1779.12,1010.10,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
58,1.9329,1,-0.070960,-0.025908,1.264322,-2.99,1.31,-2.06,1779.19,1010.08,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
59,1.9663,1,-0.070939,-0.025911,1.264696,-3.23,0.95,-2.07,1779.27,1010.09,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
60,1.9996,1,-0.070911,-0.025913,1.264693,-3.49,0.91,-2.06,1779.33,1010.09,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
61,2.0329,1,-0.070955,-0.025922,1.265639,-2.26,1.28,-2.02,1779.35,1010.12,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
62,2.0663,1,-0.070951,-0.025902,1.265924,0.97,1.58,-1.84,1779.40,1010.18,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
63,2.0996,1,-0.070724,-0.025942,1.265121,-1.98,1.30,-1.77,1779.76,1010.06,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
64,2.1329,1,-0.070226,-0.026044,1.264509,-3.02,1.24,-1.18,1780.68,1009.82,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
65,2.1662,1,-0.069336,-0.026160,1.262084,-5.52,2.68,-0.08,1782.15,1009.44,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
