time_s,target_1,target_2,target_3,target_4,target_5
0.29,5.021056721845861,0.7435272213945167,0.2174118781643456,1.9092681039158137,5.8546321937597705
0.3,5.262164694961837,0.7611974051932916,0.29154017744386473,2.14633967867759,6.320557751473272
0.31,5.574072844774548,0.8686645396284398,0.4420891209084973,2.4369377189490575,6.8159757898850115
0.32,5.944453628862041,1.0490334366384637,0.652184361265582,2.766035907975661,7.331729245885968
0.33,6.356195410725184,1.2811153342867296,0.899806632995167,3.1122012098337337,7.854011552563792
0.34,6.799083561943172,1.5689950246301976,1.2096544069426975,3.5107594518486094,8.40800344658517
0.35,7.253614289076057,1.8830371122521505,1.5554257899394095,3.9443805681686035,8.984644729990217
0.36,7.7419054480339495,2.250276153733981,1.9491717543779117,4.406640521429119,9.572445867803525
0.37,8.285262498545428,2.7072833626428956,2.424446071339071,4.923880390550419,10.1877670771173
0.38,8.903498421061515,3.2829686476118782,3.0008510435501687,5.504317901955385,10.83045270873662
0.39,9.591559933525716,3.9708366925398115,3.6650936673954826,6.130233021764517,11.48653826907907
0.4,10.335111238177294,4.763997060147026,4.4202570927133715,6.809587336913986,12.16225824269026
0.41,11.110590331690007,5.6453943131415265,5.263915185179564,7.549286167070319,12.863951591168354
0.42,11.925992515198528,6.609997823383219,6.1824777368149135,8.333346530793394,13.581987031347136
0.43,12.798627684958504,7.678244199251521,7.18996970343066,9.16629641219241,14.315554578556474
0.44,13.732549041062116,8.844098816935333,8.27861465904238,10.044253315982507,15.064192538485099
0.45,14.702160713988109,10.080256544318638,9.427707070222251,10.956478135835102,15.824592835461438
0.46,15.667017425041186,11.35712585967509,10.621987332513141,11.898671507326203,16.59735367916749
0.47,16.591778625078888,12.654340577860104,11.852919641266494,12.867003224235248,17.380648133062326
0.48,17.470814527727413,13.976793870679147,13.126539056355815,13.864467731516672,18.17446890754791
0.49,18.34796602513008,15.366643752573728,14.472252935776853,14.904982774224015,18.981523291229806
0.5,19.274428277032957,16.860668240614352,15.915616853890043,16.003469140285233,19.807320240387472
0.51,20.26566614195928,18.452478430830677,17.44541103897339,17.151555679512676,20.64844154563799
0.52,21.25174435111813,20.062824675378373,19.00126337910805,18.317225246671075,21.49586414305513
0.53,22.12346855612047,21.589911797237757,20.513732264622504,19.468039382020105,22.342423470466652
0.54,22.78348932724349,22.950239254482252,21.92844878288498,20.579753178038565,23.18298372233358
0.55,23.25338346180942,24.17700001277218,23.275312099624916,21.669803892330144,24.022633179757452
0.56,23.656467507163057,25.389446732729283,24.640599214754126,22.78096503968507,24.871700058068537
0.57,24.12761017562052,26.70735346990847,26.10862186899867,23.955480633498993,25.740555635332175
0.58,24.73531420706344,28.188374926281675,27.718018864766517,25.2123292774705,26.634420679926258
0.59,25.44675994948204,29.82612383000462,29.474153502142382,26.55780965703927,27.556235217941335
0.6,26.19451969620131,31.57992594643095,31.358427186724715,27.984888521366482,28.50431664567979
0.61,26.893263655241192,33.37162008998019,33.31964477587339,29.474355254675466,29.477487730855817
0.62,27.46813435529121,35.083482768364675,35.25681500894961,30.968725761099556,30.45808087498861
0.63,27.849203307123855,36.57134140985811,37.036608289858584,32.3945687702865,31.42875561897492
0.64,27.999674905954105,37.73263195821695,38.55847373765476,33.69585152545049,32.37454317634908
0.65,27.953270017176536,38.60151543502445,39.84888181628011,34.88975934903409,33.300393003916476
0.66,27.785332547541085,39.30600255692853,41.016228017752184,36.03908979013921,34.223601858341354
0.67,27.58783997865413,39.98209144498998,42.15557798527987,37.19668312519617,35.15436067475964
0.68,27.392329898379565,40.69972087651686,43.30457615961511,38.40620035016328,36.107311081623926
0.69,27.17759089518029,41.42322494251137,44.33950869077253,39.639018604559574,37.06923037400627
0.7,26.905642474921272,42.10451628794477,45.0,40.882632170717365,38.04173070581583
0.71,26.541005451238682,42.698460592501064,45.0,42.09905119995637,39.01305555233143
0.72,26.024026608380428,43.12436411067526,45.0,43.22493790511176,39.964967505859285
0.73,25.350159206108504,43.389440864892755,45.0,44.21150566666129,40.89872711162345
0.74,24.544942884228327,43.536111258595085,45.0,44.937841587544604,41.81664338501863
0.75,23.67457370741189,43.60316541596275,45.0,45.0,42.696883032650604
0.76,22.802771726230834,43.55390741428838,45.0,45.0,43.50425467631123
0.77,21.99372196958587,43.36441267041484,45.0,45.0,44.2009388758671
0.78,21.257393363489314,43.011812717818636,45.0,45.0,44.73391826568739
0.79,20.5051369713433,42.46026538034821,45.0,45.0,45.0
0.8,19.618064113748428,41.67677690442437,45.0,45.0,45.0
0.81,18.490473617225827,40.62279973925396,45.0,45.0,45.0
0.82,17.071164236911795,39.26256100986931,45.0,45.0,45.0
0.83,15.35027945473617,37.569765273085636,45.0,45.0,45.0
0.84,13.344673552021602,35.54220935692201,45.0,45.0,45.0
0.85,11.162809581296878,33.27711612312567,45.0,45.0,45.0
0.86,8.94934615736779,30.90855662515553,45.0,45.0,45.0
0.87,6.845650461862693,28.569003337731786,45.0,45.0,45.0
0.88,4.944567724553539,26.357613692517067,44.586841909642445,45.0,45.0
0.89,3.1970935463604646,24.17122791155076,43.558213503679006,45.0,45.0
0.9,1.5146980077270569,21.84128191648268,42.08669171546521,45.0,45.0
0.91,-0.15844856894270617,19.28757827824823,40.22015807642729,45.0,45.0
0.92,-1.8318194278945332,16.55099307905034,38.05319119202816,45.0,45.0
0.93,-3.4658446783662265,13.760089042342829,35.72742482398147,45.0,45.0
0.94,-5.057580691014082,10.995808850090327,33.34233820862877,45.0,45.0
0.95,-6.593264295866283,8.264443178296883,30.892235361015494,45.0,45.0
0.96,-8.026843113389328,5.617228450327764,28.442525373013023,44.536109808720326,45.0
0.97,-9.371273076962739,2.959091127703892,25.863029673657472,43.66342140736332,45.0
0.98,-10.58711728151975,0.3139518659625758,23.156082106536974,42.52073668201684,45.0
0.99,-11.695076452979738,-2.3200863280567106,20.323611017583282,41.15440935548251,44.92921941232335
1.0,-12.704870223626548,-4.91570796142937,17.395165094611702,39.57364437341081,44.741423577911654
1.01,-13.657394179933846,-7.433480091795562,14.460337993793203,37.84044537511179,44.50904136332641
1.02,-14.509992372661932,-9.84516370430493,11.541360155334061,35.97026746127718,44.257559632081524
1.03,-15.25225182051848,-12.132956982942735,8.668003108910133,33.98943773014617,43.99554046511746
1.04,-15.80179869647307,-14.26554526889409,5.829879974982731,31.878500685412618,43.70876722932594
1.05,-16.204476546792105,-16.260879672618056,3.0521307137297105,29.688502614289174,43.40247885936366
1.06,-16.43015653512565,-18.074374380185812,0.3662632726601761,27.44312371312112,43.08204115859059
1.07,-16.55114155750341,-19.74083213635521,-2.215881881766374,25.180887120388533,42.76286564362652
1.08,-16.566357833986388,-21.243373768115177,-4.680002798250824,22.91588486497458,42.44649569635079
1.09,-16.48204770187974,-22.604507403690125,-7.020380816730574,20.675369301705995,42.14023916432541
1.1,-16.34948492348676,-23.838269449118663,-9.227971745332132,18.478742552422258,41.849529225165
1.11,-16.139812814919516,-24.93333713355081,-11.326156186394599,16.290688608399286,41.55229193801597
1.12,-15.865140822820383,-25.906426178666216,-13.292560185353295,14.161218951162162,41.268391612846024
1.13,-15.478579493174333,-26.712256214172122,-15.104203674650012,12.098237028999238,40.99101659106929
1.14,-14.951500274610709,-27.327372422324984,-16.7611433835883,10.087604973920296,40.698722721383795
1.15,-14.357625770519233,-27.831225170448636,-18.3001781233143,8.131145104925562,40.37798101539002
1.16,-13.666903186322452,-28.180282392371545,-19.684788063428527,6.253356898248304,40.009698116382445
1.17,-12.872972485484611,-28.367355753199625,-20.90862787835974,4.459217920444729,39.557398244557774
1.18,-11.99525517693393,-28.415409960171335,-21.984137871302057,2.751442745471831,38.98116985564556
1.19,-11.04523184852556,-28.354643014726896,-22.94346155238723,1.1118019268909256,38.23151832371562
1.2,-9.980849034180999,-28.13535385008049,-23.748731069624913,-0.43939854465601064,37.28793962237015
1.21,-8.76626103157562,-27.725504785867763,-24.380410245120697,-1.895924098023918,36.14754232299984
1.22,-7.401621759244953,-27.11482299235658,-24.826624265107835,-3.2449606451339847,34.84976983720908
1.23,-5.972833796926096,-26.41660406337046,-25.15891334640632,-4.50487005474394,33.43608278188359
1.24,-4.502531365274821,-25.62507723893898,-25.37071760893575,-5.677350719093725,31.942449288827817
1.25,-3.0029393877044117,-24.731241767931973,-25.440449278787764,-6.73543871629552,30.41893534305731
1.26,-1.455756724400138,-23.707691660512644,-25.34737468071023,-7.668289339141852,28.888666976046455
1.27,0.12891064106000466,-22.560151341213736,-25.099933105168844,-8.483779116499345,27.363923900627064
1.28,1.7448562433860864,-21.287430570797504,-24.694348603206944,-9.171463321056953,25.865154571284982
1.29,3.424091659446672,-19.857965787740497,-24.110101636106986,-9.717300055085026,24.40819069955392
1.3,5.153130266772448,-18.290952065578526,-23.369110993622783,-10.140145012267828,22.987443184432884
1.31,6.9484444351219175,-16.57448359519931,-22.466136693334576,-10.437536672339734,21.60758339566019
1.32,8.81360008623456,-14.71129222586584,-21.414366806381583,-10.623552839468841,20.26776969258276
1.33,10.691781077833992,-12.7855834651106,-20.295618378037318,-10.753548217427166,18.953156215333046
1.34,12.575645449568725,-10.817155364049691,-19.13383347910558,-10.844910964902786,17.66111948123633
1.35,14.455007967507285,-8.7593105679334,-17.85540836636651,-10.85282165781702,16.401858439818376
1.36,16.346439260864425,-6.581031634937221,-16.422741600302338,-10.756374095367432,15.180430737369447
1.37,18.340680739630052,-4.270126085227936,-14.864472531853806,-10.582454608468863,13.99264556886646
1.38,19.919494528416152,-2.6293037161903063,-13.968712922158575,-10.726194086830283,12.799217439578701
1.39,22.092175037660514,-0.09761619957389457,-12.315416150638395,-10.424576502216992,11.750155939722855
1.4,24.137778483154243,2.4256278524796535,-10.609017465886284,-10.068930718067891,10.74585993359753
1.41,26.052296904707788,4.9045189049433064,-8.886138819957711,-9.670107777959615,9.79052326572948
1.42,27.804235251437067,7.308669050349556,-7.173346111780733,-9.237986356714025,8.887130368799653
1.43,29.37437756497391,9.618294858843369,-5.471851218779971,-8.764973154373834,8.041695190587133
1.44,30.743746047685153,11.790254236775619,-3.830223878316121,-8.283246155833677,7.246552349392805
1.45,31.946527755722474,13.875525397511606,-2.19225832315743,-7.749240487521482,6.5210947097900505
1.46,33.0817306848703,15.97897723411663,-0.4689913879644145,-7.110286444428991,5.884190304745341
1.47,34.22824580594411,18.175931927804356,1.3988833502036035,-6.332208895510276,5.345999097570278
1.48,35.3946957309062,20.454521305501885,3.39914986197356,-5.418771835875578,4.909773095971231
1.49,36.5201134286837,22.74261128700731,5.485050006464337,-4.38526223905694,4.577438116437762
1.5,37.515848777165296,24.936023128107436,7.57241347233231,-3.279234998040371,4.33585863060521
1.51,38.33081331017421,26.98604426418261,9.62796854405649,-2.1123685463418655,4.188408020001799
1.52,38.986280121627225,28.913201655941638,11.66688944291637,-0.8807624270193285,4.1333581786563665
1.53,39.53959050559177,30.761933363473545,13.716797547148456,0.4309645176608692,4.179565950455904
1.54,40.015025025400966,32.528601129994705,15.76456739396862,1.8134160845154603,4.326536767843698
1.55,40.41191023310179,34.18460177235741,17.771967774761894,3.2353859896628605,4.560459528122792
1.56,40.698779445075566,35.695862580028454,19.725356977377746,4.702896994060025,4.889302642409154
1.57,40.85257680641985,37.02731970195526,21.575273120245257,6.171208355812786,5.294277523959917
1.58,40.86286803888643,38.21714467617819,23.36211662587292,7.664955077603022,5.7857745958802305
1.59,40.82224473065484,39.43121239105316,25.240749536306474,9.278312074277336,6.392018684368663
1.6,40.78837805004278,40.80535730398223,27.343597073889445,11.084151249316687,7.127214446901111
1.61,40.764812091493525,42.33310860509204,29.668161718605667,13.081197226944337,7.98956072784473
1.62,40.63571587821311,43.74167667825735,31.950414610284124,15.118790584355628,8.93880405611983
1.63,40.22684822985553,44.6969793820707,33.87044828814332,17.00546827779101,9.918151917854624
1.64,39.43837021087299,45.0,35.224389454683276,18.601650216756052,10.880672193085147
1.65,38.34597811640893,44.91634056684792,36.137586896370664,19.964870790447886,11.83694966011588
1.66,37.08842360362404,44.57358031820411,36.81848085260742,21.218658654296224,12.822454275853014
1.67,35.82157584635859,44.33175010126771,37.646996297669496,22.603154909416823,13.905165810463403
1.68,34.59938591053623,44.277928821047915,38.70748775722048,24.17030942378812,15.096099269574378
1.69,33.34704484447638,44.228647410989474,39.815473369153615,25.812614467983156,16.363378157423103
1.7,32.00113221584076,44.04082914863891,40.81529969468003,27.42310913234414,17.668709218843645
1.71,30.498806927400157,43.59101304624454,41.577050644931866,28.91677469469396,18.984731888963925
1.72,28.832308684152324,42.899442582193586,42.126866549153455,30.30254983990166,20.30850692166744
1.73,27.03624387008859,42.03535565336814,42.53468101576564,31.619089447300205,21.650211603964006
1.74,25.146868812335704,41.04001333734608,42.83653936067257,32.88090123245925,23.007956914528037
1.75,23.235251049203804,39.93893412814647,43.031801050499695,34.079094657081015,24.37447667147833
1.76,21.402143437471956,38.75937325966548,43.099162620114356,35.18105786207445,25.732621768697427
1.77,19.74577629129176,37.56567075947755,43.06550704166571,36.18599622582747,27.07497237407711
1.78,18.261888827151044,36.398479561476826,42.98187623628352,37.125376110952615,28.409635078404648
1.79,16.78321731633535,35.193913424570525,42.83650068472331,37.99769200232309,29.729408591108196
1.8,14.992307465011649,33.75783508157686,42.54363456321062,38.786471218710886,31.028079624465047
1.81,12.832387805144322,32.096053356348,42.114866122139155,39.49700522036717,32.3038478564175
1.82,10.393220151984755,30.225543962359584,41.52620434684983,40.106999728131115,33.543193503632004
1.83,7.8836723354351665,28.219115776363715,40.76569952169665,40.58385556540872,34.72617171179393
1.84,5.526253792357627,26.18160379553107,39.858994552975396,40.92092512210917,35.838701108070175
1.85,3.355981359508609,24.11115808888508,38.79813417963467,41.11442559964056,36.87209899142556
1.86,1.291264577815707,21.980023153941936,37.591513780190375,41.180526170954806,37.82514347039102
1.87,-0.7545868832044639,19.75254408769475,36.22545908727087,41.1143672900435,38.69101630177902
1.88,-2.8346597221645156,17.428153708959048,34.71613915493889,40.92590355097972,39.46541155068262
1.89,-4.870224864176298,15.107189363616952,33.144373079311386,40.65493380642504,40.154747523602005
1.9,-6.812366623831737,12.830358946746225,31.5364520072199,40.308749423749454,40.75733335453199
1.91,-8.62315478997403,10.608679298902135,29.893153688727715,39.88181517978482,41.2727116863566
1.92,-10.300745371889782,8.428319889860191,28.204745847178955,39.36699612906274,41.70275509588832
1.93,-11.899864704669893,6.217186893802137,26.411104834629377,38.72520831206739,42.038778337149374
1.94,-13.431913327458977,3.9616912779679168,24.5037842045159,37.95358908868564,42.289950450464346
1.95,-14.910701592349652,1.6580447228590385,22.477813078357016,37.0408207703976,42.45485288239481
1.96,-16.343070708545405,-0.674150942917411,20.352809535251275,35.993634814515026,42.53843512343153
1.97,-17.694780342281405,-2.974456029032819,18.179932855715535,34.83867000923504,42.55231461081074
1.98,-18.979300501944476,-5.247278641652447,15.956798085294333,33.56987497989459,42.490512510231945
1.99,-20.17192157636699,-7.467022521022415,13.705505273816767,32.20409253383048,42.36003252305703
2.0,-21.235655706392038,-9.607820985382197,11.441134489132056,30.743766533039064,42.15448878004538
2.01,-22.178339199136346,-11.688838365946694,9.15003139995369,29.18742348083925,41.8720826017214
2.02,-23.011048227035943,-13.716633721172453,6.827315358823926,27.529846831722917,41.50044352356424
2.03,-23.74227149293002,-15.686082174209693,4.483915492496435,25.783349805781743,41.03696214084097
2.04,-24.37876528527923,-17.59923504606572,2.1139023600994675,23.940088146143495,40.46606287176176
2.05,-24.955878587585644,-19.478051077455575,-0.28327766822454703,22.011911905178906,39.78808126547701
2.06,-25.43289861316247,-21.26180161162625,-2.652151361024197,20.03128945071788,39.00320604030668
2.07,-25.75008146847739,-22.885959511159363,-4.940489016812806,18.027741749217096,38.111731367736006
2.08,-25.958773440507258,-24.433651921751732,-7.218753783584935,15.965444941450517,37.10449397038879
2.09,-26.039283682794604,-25.869996369627078,-9.443753724581947,13.879808992323618,35.99441564901047
2.1,-25.995160759565806,-27.200321043348385,-11.616639479581446,11.773802514438888,34.784910681933326
2.11,-25.810385370899304,-28.405704895137376,-13.72867780331753,9.645909101384335,33.476185493812444
2.12,-25.49985249667207,-29.47829546005004,-15.773766599263716,7.497522605192456,32.07266505995829
2.13,-25.11696000753331,-30.442671957822895,-17.752006293428902,5.341178418854393,30.586335450834763
2.14,-24.683435982057798,-31.301007592838502,-19.6573165650368,3.182775490717602,29.024665033520808
2.15,-24.156666819734355,-31.997098282894985,-21.435028908807922,1.0577198278975262,27.40158717332581
